"track_name","artists","track_genre","popularity","genre_rank"
"Die Young (feat. 347aidan)","Sleepy Hallow;347aidan","r-n-b",81,3
"2055","Sleepy Hallow","r-n-b",81,3
"Beat the Odds","Lil Tjay","r-n-b",81,3
"La Bachata","Manuel Turizo","reggae",98,1
"Me Porto Bonito","Bad Bunny;Chencho Corleone","reggae",97,2
"Tití Me Preguntó","Bad Bunny","reggae",97,2
"La Bachata","Manuel Turizo","reggaeton",98,1
"Tití Me Preguntó","Bad Bunny","reggaeton",97,2
"Me Porto Bonito","Bad Bunny;Chencho Corleone","reggaeton",97,2
"I Ain't Worried","OneRepublic","rock",96,1
"Sweater Weather","The Neighbourhood","rock",93,2
"I Wanna Be Yours","Arctic Monkeys","rock",92,3
"Can't Help Falling in Love","Elvis Presley","rock-n-roll",80,1
"Stand by Me","Ben E. King","rock-n-roll",80,1
"Suspicious Minds","Elvis Presley","rock-n-roll",76,3
"Johnny B. Goode","Chuck Berry","rock-n-roll",76,3
"Can't Help Falling in Love","Elvis Presley","rockabilly",80,1
"Suspicious Minds","Elvis Presley","rockabilly",76,2
"Johnny B. Goode","Chuck Berry","rockabilly",76,2
"Эти глаза напротив","Valery Obodzinsky","romance",35,1
"Katyusha","Georgi Vinogradov","romance",34,2
"Чистые пруды","Igor Talkov","romance",34,2
"Living Life, In The Night","Cheriimoya;Sierra Kidd","sad",83,1
"death bed (coffee for your head)","Powfu;beabadoobee","sad",83,1
"Get You The Moon (feat. Snøw)","Kina;Snøw","sad",80,3
"Virgen","Adolescent's Orquesta","salsa",77,1
"Vivir Mi Vida","Marc Anthony","salsa",76,2
"Yo No Sé Mañana","Luis Enrique","salsa",75,3
"The Girl From Ipanema","Stan Getz;João Gilberto;Astrud Gilberto","samba",68,1
"Mas Que Nada","Sérgio Mendes;Black Eyed Peas","samba",64,2
"Impossível Te Esquecer - Ao Vivo","Caju Pra Baixo","samba",57,3
"Golaço (Ao Vivo)","Turma do Pagode;Vou pro Sereno","sertanejo",63,1
"Amante, Amiga e Namorada - Ao Vivo","Max e Luan","sertanejo",62,2
"Sentimentalmente Esperto - Ao Vivo","Henrique & Juliano","sertanejo",62,2
"Meu Anjo / Esqueça Que Eu Te Amo / É Amor Demais (Ao Vivo)","Murilo Huff","sertanejo",62,2
"Problemão - Ao Vivo","Hugo & Vitor;Clayton & Romário","sertanejo",62,2
"Let It Go - From ""Frozen""/Soundtrack Version","Idina Menzel","show-tunes",75,1
"Never Enough","Loren Allred","show-tunes",75,1
"Rewrite The Stars","Zac Efron;Zendaya","show-tunes",74,3
"A Million Dreams","Ziv Zaifman;Hugh Jackman;Michelle Williams","show-tunes",74,3
"Rewrite The Stars","Zac Efron;Zendaya","show-tunes",74,3
"This Is Me","Keala Settle;The Greatest Showman Ensemble","show-tunes",74,3
"Running Up That Hill (A Deal With God)","Kate Bush","singer-songwriter",90,1
"Until I Found You","Stephen Sanchez","singer-songwriter",89,2
"Running Up That Hill (A Deal With God) - 2018 Remaster","Kate Bush","singer-songwriter",85,3
"The Kids Aren't Alright","The Offspring","ska",81,1
"You're Gonna Go Far, Kid","The Offspring","ska",81,1
"Self Esteem","The Offspring","ska",77,3
"Santeria","Sublime","ska",77,3
"Clean White Noise - Loopable with no fade","White Noise Baby Sleep;White Noise for Babies","sleep",85,1
"Brown Sleep Noise","Sleep Miracle","sleep",80,2
"Deep Sleep Recovery Noise","Water Sound Natural White Noise","sleep",76,3
"Running Up That Hill (A Deal With God)","Kate Bush","songwriter",90,1
"Until I Found You","Stephen Sanchez","songwriter",89,2
"Running Up That Hill (A Deal With God) - 2018 Remaster","Kate Bush","songwriter",85,3
"Evergreen (You Didn’t Deserve Me At All)","Omar Apollo","soul",88,1
"Only Love Can Hurt Like This","Paloma Faith","soul",87,2
"Pink + White","Frank Ocean","soul",85,3
"Lost","Frank Ocean","soul",85,3
"All of Me","John Legend","soul",85,3
"cómo dormiste?","Rels B","spanish",89,1
"Tiroteo - Remix","Marc Seguí;Rauw Alejandro;Pol Granch","spanish",81,2
"A Mí","Rels B","spanish",80,3
"Distractions","Timothy Infinite","study",55,1
"Shoreditch","Clint Is Quinn","study",55,1
"Skin Tone","Timothy Infinite","study",54,3
"Dancing Queen","ABBA","swedish",83,1
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA","swedish",82,2
"Angeleyes","ABBA","swedish",78,3
"The Final Countdown","Europe","swedish",78,3
"It Must Have Been Love - From the Film ""Pretty Woman""","Roxette","swedish",78,3
"Everybody Wants To Rule The World","Tears For Fears","synth-pop",87,1
"Take on Me","a-ha","synth-pop",85,2
"Sweet Dreams (Are Made of This) - Remastered","Eurythmics;Annie Lennox;Dave Stewart","synth-pop",82,3
"Por Una Cabeza","Carlos Gardel","tango",46,1
"Scent of a Woman: Tango (Por Una Cabeza)","Carlos Gardel;Itzhak Perlman;John Williams;Pittsburgh Symphony Orchestra","tango",44,2
"Naranjo en Flor (En Directo)","Roberto Goyeneche","tango",38,3
"Cambalache","Rubén Juárez","tango",38,3
"Lost in the Fire (feat. The Weeknd)","Gesaffelstein;The Weeknd","techno",85,1
"The Middle","Zedd;Maren Morris;Grey","techno",80,2
"Give It To Me - Full Vocal Mix","Matt Sassari","techno",79,3
"The Motto","Tiësto;Ava Max","trance",86,1
"Don't Be Shy","Tiësto;KAROL G","trance",84,2
"Hot In It","Tiësto;Charli XCX","trance",84,2
"Teardrop","Massive Attack","trip-hop",71,1
"Glory Box","Portishead","trip-hop",71,1
"Who Is She ?","I Monster","trip-hop",67,3
"Seni Dert Etmeler","Madrigal","turkish",77,1
"M.","Anıl Emre Daldal","turkish",75,2
"Arıyorum","EDIS","turkish",72,3
"Reckless Love","Cory Asbury","world-music",70,1
"Way Maker - Live","Leeland","world-music",67,2
"Good Good Father","Chris Tomlin","world-music",66,3
"10,000 Reasons (Bless The Lord) - Live","Matt Redman","world-music",66,3
"Goodness of God - Live","Bethel Music;Jenn Johnson","world-music",66,3
"What A Beautiful Name","Hillsong Worship;Brooke Ligertwood","world-music",66,3
