"artists","total_count"
"Dimitri Vegas & Like Mike;Dimitri Vegas;Wiz Khalifa",4
"Dion & The Belmonts",4
"Don Diablo;Zak Abel",4
"Don Henley",4
"Dr. Hook",4
"Duke Dumont",4
"Duke Dumont;Jax Jones",4
"Earth, Wind & Fire",4
"Elis Regina",4
"Ellie Goulding;Speed Radio",4
"Emmylou Harris",4
"Eric Prydz",4
"Eric Prydz;Empire of the Sun",4
"Europe",4
"Everclear",4
"Falling In Reverse",4
"Faridkot;Amar Jalal",4
"Farruko",4
"Fats Domino",4
"Feine Sahne Fischfilet",4
"Felix Jaehn",4
"Felix Jaehn;Mike Williams",4
"Felix Jaehn;Ray Dalton",4
"Felix Jaehn;Robin Schulz;Georgia Ku",4
"Felix Jaehn;The Stickmen Project;Calum Scott",4
"Felix Jaehn;VIZE;Miss Li",4
"Felix Jaehn;Zoe Wees",4
"Fiskales Ad-Hok",4
"Fitz and The Tantrums;Dave Audé",4
"Flört",4
"Foo Fighters",4
"Fuego",4
"Fuego;Greeicy",4
"Fuego;Nicky Jam;De La Ghetto;Amenazzy;C. Tangana",4
"Gen Hoshino",4
"Gerry Rafferty",4
"Godsmack",4
"Gorgon City;Hayley May",4
"Gorgon City;Laura Welsh",4
"Gramofocas",4
"Grouplove",4
"Hari & Sukhmani",4
"Harish Budhwani",4
"Hatebreed",4
"Hikaru Utada",4
"Hinder",4
"Héctor ""El Father""",4
"ILLENIUM;Annika Wells",4
"ILLENIUM;Jon Bellion",4
"ILLENIUM;MAX",4
"ILLENIUM;Skylar Grey",4
"ILLENIUM;Spiritbox",4
"ILLENIUM;Sueco;Trippie Redd",4
"ILLENIUM;X Ambassadors",4
"ILLENIUM;iann dior",4
